application_id,client_id,equifax_id,reporting_dt,account_uid,fund_date,trade_owner_indic,trade_opened_dt,trade_trade_type_code,trade_loan_kind_code,trade_acct_type1,trade_is_consumer_loan,trade_has_card,trade_is_novation,trade_is_money_source,trade_close_dt,account_amt_credit_limit,account_amt_currency_code,account_amt_ensured_amt,coborrower_has_solidary,coborrower_solidary_num,paymnt_condition_principal_terms_amt,paymnt_condition_principal_terms_amt_dt,paymnt_condition_interest_terms_amt,paymnt_condition_interest_terms_amt_dt,paymnt_condition_terms_frequency,paymnt_condition_min_paymt,paymnt_condition_grace_start_dt,paymnt_condition_grace_end_dt,paymnt_condition_interest_payment_due_date,overall_val_credit_total_amt,overall_val_credit_total_monetary_amt,overall_val_credit_total_amt_date,month_aver_paymt_aver_paymt_amt,month_aver_paymt_calc_date,has_collaterals,has_guarantees,has_indie_guarantees,collat_insured_insur_sign,collat_insured_insur_limit,collat_insured_currency_code,collat_insured_has_franchise,collat_insured_insur_start_dt,collat_insured_insur_end_dt,collat_insured_insur_fact_end_dt,collat_insured_insur_end_reason,colat_repaid,collat_repay_code,collat_repay_dt,collat_repay_amt,loan_indicator,loan_indicator_dt,legal_items_has_legal_dispute,legal_items_court_act_dt,legal_items_court_act_effect_code,hold_code,hold_dt,file_since_dt,last_updated_dt,last_uploaded_dt,arrear_sign,arrear_start_amt_outstanding,arrear_last_payment_due_code,arrear_amt_outstanding,arrear_principal_outstanding,arrear_int_outstanding,arrear_other_amt_outstanding,arrear_calc_date,arrear_unconfirm_grace,due_arrear_start_dt,due_arrear_last_payment_due_code,due_arrear_amt_outstanding,due_arrear_principal_outstanding,due_arrear_int_outstanding,due_arrear_other_amtoutstanding,due_arrear_calc_date,past_due_dt,past_due_last_payment_due_code,past_due_amt_past_due,past_due_principal_amt_past_due,past_due_int_amt_past_due,past_due_other_amt_past_due,past_due_calc_date,past_due_principal_missed_date,past_due_int_missed_date,delay5,delay30,delay60,delay90,delay_more,cred_max_overdue,attr_value
52383345,16090447,9711410,2023-08-21,612843094161727263,2020-09-16,1.0,2020-09-16,1.0,5.0,19.0,1.0,1.0,0.0,0.0,2021-04-21,22000.0,RUB,,0.0,,,,,,,,,,,29.77,,2021-04-21,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,1.0,2021-04-21,,,,,,2020-09-16,2021-04-21,2021-04-28,0.0,22000.0,1.0,0.0,0.0,0.0,0.0,2021-04-21,,,1.0,0.0,0.0,0.0,0.0,2021-04-21,,1.0,0.0,0.0,0.0,0.0,2021-04-21,,,0,0,0,0,0,0.0,CCCCCCCCCCCCCCCCCCCCCCCCCCCCC0000000
52383345,16090447,9711410,2023-08-21,506051021937038673,2022-02-14,1.0,2022-02-14,1.0,1.0,14.0,1.0,0.0,0.0,1.0,2023-08-14,117734.0,RUB,,,,0.0,,,,,,,,,8.933,8468.92,2022-02-14,0.0,2023-08-14,0.0,0.0,0.0,,,,,,,,,,,,,1.0,2023-08-14,,,,,,2022-02-14,2023-08-14,2023-08-16,0.0,117734.0,1.0,0.0,0.0,0.0,0.0,2023-08-14,,,1.0,0.0,0.0,0.0,0.0,2023-08-14,,1.0,0.0,0.0,0.0,0.0,2023-08-14,,,0,0,0,0,0,0.0,C000000000000000000
52383345,16090447,9711410,2023-08-21,880602980476063235,2022-08-24,1.0,2022-08-23,1.0,5.0,15.0,1.0,1.0,0.0,1.0,2260-12-31,20000.0,RUB,,,,597.86,2023-09-20,490.76,2023-09-20,3.0,100.0,2023-08-01,2023-08-31,2090-01-01,33.389,247991.61,2022-08-23,100.0,2023-08-05,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,2022-08-23,2023-08-07,2023-08-10,1.0,500.0,0.0,20041.44,19928.52,112.92,0.0,2023-08-07,0.0,2023-08-07,0.0,20041.44,19928.52,112.92,0.0,2023-08-07,,0.0,0.0,,,,2023-08-07,,,0,0,0,0,0,0.0,0000000000000
52383345,16090447,9711410,2023-08-21,393864186169938849,2023-06-17,1.0,2023-06-16,1.0,5.0,19.0,1.0,1.0,0.0,1.0,2260-12-31,40000.0,RUB,,0.0,,0.0,,,,,,,,,25.356,30608.96,2023-06-16,1000.0,2023-08-04,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,2023-06-16,2023-08-04,2023-08-07,1.0,4390.38,1.0,40019.04,39999.38,19.66,0.0,2023-08-04,,2023-06-16,1.0,40019.04,39999.38,19.66,0.0,2023-08-04,,1.0,0.0,,,,2023-08-04,,,0,0,0,0,0,0.0,000
52383345,16090447,9711410,2023-08-21,330043192674456129,2012-08-22,1.0,2012-08-22,1.0,5.0,19.0,1.0,1.0,0.0,0.0,2050-01-01,500000.0,RUB,,0.0,,,,,,,,,,,23.13,,2021-05-11,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,1.0,2021-05-11,,,,,,2012-08-22,2021-05-11,2021-05-13,0.0,150000.0,1.0,0.0,0.0,0.0,0.0,2021-05-11,,,1.0,0.0,0.0,0.0,0.0,2021-05-11,,1.0,0.0,0.0,0.0,0.0,2021-05-11,,,1,0,0,0,0,24116.19,CCCCCCCCCCCCCCCCCCCCCCCCCCCC000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
52383345,16090447,9711410,2023-08-21,63057266097164543,2021-01-31,1.0,2021-01-31,1.0,1.0,15.0,1.0,0.0,0.0,0.0,2021-03-27,200600.0,RUB,,0.0,,,,,,,,,,,17.078,,2021-03-28,,,1.0,0.0,0.0,,,,,,,,,0.0,,,,1.0,2021-03-27,,,,,,2021-02-01,2021-03-28,2021-03-31,0.0,70000.0,1.0,0.0,0.0,0.0,0.0,2021-03-27,,,1.0,0.0,0.0,0.0,0.0,2021-03-27,,1.0,0.0,0.0,0.0,0.0,2021-03-27,,,0,0,0,0,0,0.0,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC0-
52383345,16090447,9711410,2023-08-21,307476439151851357,2022-09-15,1.0,2022-09-15,1.0,4.0,19.0,1.0,1.0,0.0,1.0,2260-12-31,50000.0,RUB,,,,0.0,,1.72,2023-09-04,3.0,,,,,29.183,12402.09,2022-11-08,1.0,2023-08-15,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,2022-09-15,2023-08-15,2023-08-18,1.0,50000.0,1.0,49987.52,49985.8,1.72,0.0,2023-08-15,0.0,2022-09-18,1.0,49987.52,49985.8,1.72,0.0,2023-08-15,,1.0,0.0,,,,2023-08-15,,,0,0,0,0,0,0.0,000000000000
52383345,16090447,9711410,2023-08-21,73944493464901522,2023-06-27,1.0,2023-06-27,1.0,7.0,99.0,1.0,1.0,0.0,1.0,2260-12-31,10000.0,RUB,,0.0,,0.0,,6420.0,2023-08-16,3.0,,,,,33.01,504.0,2023-06-27,10000.0,2023-07-21,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,2023-06-27,2023-08-17,2023-08-19,1.0,10000.0,1.0,6420.0,6420.0,0.0,0.0,2023-08-17,0.0,2023-07-21,1.0,6420.0,6420.0,0.0,0.0,2023-08-17,,1.0,0.0,,,,2023-08-17,,,0,0,0,0,0,0.0,000
52383345,16090447,9711410,2023-08-21,43661236205386240,2023-07-13,1.0,2023-07-13,1.0,3.0,19.0,1.0,0.0,0.0,1.0,2023-11-13,49546.0,RUB,,0.0,,12099.17,2023-09-13,1673.15,2023-09-13,3.0,,,,,52.561,5541.54,2023-07-13,13772.0,2023-08-13,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,2023-07-11,2023-08-13,2023-08-14,1.0,49546.0,1.0,37957.64,37957.64,0.0,0.0,2023-08-13,0.0,2023-07-13,1.0,37957.64,37957.64,0.0,0.0,2023-08-13,,1.0,0.0,,,,2023-08-13,,,0,0,0,0,0,0.0,00
52383345,16090447,9711410,2023-08-21,776412581414467065,2023-07-27,1.0,2023-07-27,1.0,3.0,99.0,1.0,0.0,0.0,1.0,2023-08-17,15000.0,RUB,,0.0,,0.0,,,,,,,,,292.0,2520.0,2023-07-27,0.0,2023-08-12,0.0,0.0,0.0,,,,,,,,,,,,,1.0,2023-08-12,,,,,,2023-07-27,2023-08-12,2023-08-14,0.0,15000.0,1.0,0.0,0.0,0.0,0.0,2023-08-12,,,1.0,0.0,0.0,0.0,0.0,2023-08-12,,1.0,0.0,0.0,0.0,0.0,2023-08-12,,,0,0,0,0,0,0.0,C0
