application_id,client_id,equifax_id,reporting_dt,account_uid,fund_date,trade_owner_indic,trade_opened_dt,trade_trade_type_code,trade_loan_kind_code,trade_acct_type1,trade_is_consumer_loan,trade_has_card,trade_is_novation,trade_is_money_source,trade_close_dt,account_amt_credit_limit,account_amt_currency_code,account_amt_ensured_amt,coborrower_has_solidary,coborrower_solidary_num,paymnt_condition_principal_terms_amt,paymnt_condition_principal_terms_amt_dt,paymnt_condition_interest_terms_amt,paymnt_condition_interest_terms_amt_dt,paymnt_condition_terms_frequency,paymnt_condition_min_paymt,paymnt_condition_grace_start_dt,paymnt_condition_grace_end_dt,paymnt_condition_interest_payment_due_date,overall_val_credit_total_amt,overall_val_credit_total_monetary_amt,overall_val_credit_total_amt_date,month_aver_paymt_aver_paymt_amt,month_aver_paymt_calc_date,has_collaterals,has_guarantees,has_indie_guarantees,collat_insured_insur_sign,collat_insured_insur_limit,collat_insured_currency_code,collat_insured_has_franchise,collat_insured_insur_start_dt,collat_insured_insur_end_dt,collat_insured_insur_fact_end_dt,collat_insured_insur_end_reason,colat_repaid,collat_repay_code,collat_repay_dt,collat_repay_amt,loan_indicator,loan_indicator_dt,legal_items_has_legal_dispute,legal_items_court_act_dt,legal_items_court_act_effect_code,hold_code,hold_dt,file_since_dt,last_updated_dt,last_uploaded_dt,arrear_sign,arrear_start_amt_outstanding,arrear_last_payment_due_code,arrear_amt_outstanding,arrear_principal_outstanding,arrear_int_outstanding,arrear_other_amt_outstanding,arrear_calc_date,arrear_unconfirm_grace,due_arrear_start_dt,due_arrear_last_payment_due_code,due_arrear_amt_outstanding,due_arrear_principal_outstanding,due_arrear_int_outstanding,due_arrear_other_amtoutstanding,due_arrear_calc_date,past_due_dt,past_due_last_payment_due_code,past_due_amt_past_due,past_due_principal_amt_past_due,past_due_int_amt_past_due,past_due_other_amt_past_due,past_due_calc_date,past_due_principal_missed_date,past_due_int_missed_date,delay5,delay30,delay60,delay90,delay_more,cred_max_overdue,attr_value
51832522,15978339,9325386,2023-07-31,734436999782647635,2016-09-06,1.0,2016-09-06,1.0,1.0,15.0,1.0,0.0,0.0,0.0,2017-05-10,17045.28,RUB,,0.0,,,,,,,,,,,28.614,,2017-05-31,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,1.0,2017-05-10,,,,,,2016-09-07,2017-05-31,2017-06-12,0.0,17045.28,1.0,0.0,0.0,0.0,0.0,2017-05-10,,,1.0,0.0,0.0,0.0,0.0,2017-05-10,,1.0,0.0,0.0,0.0,0.0,2017-05-10,,,0,0,0,0,0,0.0,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC00000000
51832522,15978339,9325386,2023-07-31,444944944799798621,2019-12-27,1.0,2019-12-27,1.0,1.0,15.0,1.0,0.0,0.0,0.0,2020-06-26,12302.56,RUB,,0.0,,,,,,,,,,,15.773,,2020-06-26,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,1.0,2020-06-26,,,,,,2019-12-30,2020-06-26,2020-07-01,0.0,12302.56,1.0,0.0,0.0,0.0,0.0,2020-06-26,,,1.0,0.0,0.0,0.0,0.0,2020-06-26,,1.0,0.0,0.0,0.0,0.0,2020-06-26,,,0,0,0,0,0,0.0,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC000000
51832522,15978339,9325386,2023-07-31,125948392171756962,2022-05-25,1.0,2022-05-17,1.0,5.0,19.0,1.0,1.0,0.0,1.0,2260-12-31,0.0,RUB,,0.0,,0.0,,,,,,,,,27.684,61735.04,2022-05-17,0.0,2022-09-19,0.0,0.0,0.0,,,,,,,,,,,,,1.0,2022-10-23,,,,,,2022-05-17,2022-10-23,2022-12-25,0.0,92000.0,1.0,0.0,0.0,0.0,0.0,2022-10-23,,,1.0,0.0,0.0,0.0,0.0,2022-10-23,,1.0,0.0,0.0,0.0,0.0,2022-10-23,,,0,1,0,0,0,2709.76,CCCCCCCCCC21000
51832522,15978339,9325386,2023-07-31,864347644700667546,2022-11-14,1.0,2022-11-14,1.0,4.0,19.0,1.0,1.0,0.0,1.0,2260-12-31,10000.0,RUB,,0.0,,0.0,,,,,,,,,43.793,3596.75,2023-03-07,0.0,2023-07-25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,2022-11-13,2023-07-25,2023-07-29,1.0,10000.0,1.0,9851.53,9851.53,0.0,0.0,2023-07-25,0.0,2023-04-14,1.0,9851.53,9851.53,0.0,0.0,2023-07-25,,1.0,0.0,,,,2023-07-25,,,0,0,0,0,0,0.0,00000000-
51832522,15978339,9325386,2023-07-31,621678847696662710,2022-12-03,1.0,2022-12-01,1.0,5.0,15.0,1.0,1.0,0.0,1.0,2260-12-31,110000.0,RUB,,0.0,,3192.24,2023-07-20,3890.52,2023-07-20,3.0,100.0,2023-07-01,2023-07-31,2090-01-01,33.928,515067.72,2022-12-01,100.0,2023-07-02,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,2022-12-01,2023-07-03,2023-07-05,1.0,6624.0,0.0,108589.0,108589.0,0.0,0.0,2023-07-03,0.0,2023-07-03,0.0,108589.0,108589.0,0.0,0.0,2023-07-03,,0.0,0.0,,,,2023-07-03,,,0,0,0,0,0,0.0,00000000
51832522,15978339,9325386,2023-07-31,244086478101001286,2023-01-19,1.0,2023-01-19,1.0,1.0,19.0,1.0,0.0,0.0,1.0,2023-03-19,28969.0,RUB,,0.0,,0.0,,,,,,,,,34.426,1677.82,2023-01-19,0.0,2023-03-19,0.0,0.0,0.0,,,,,,,,,,,,,1.0,2023-03-19,,,,,,2023-01-19,2023-03-19,2023-03-21,0.0,28969.0,1.0,0.0,0.0,0.0,0.0,2023-03-19,,,1.0,0.0,0.0,0.0,0.0,2023-03-19,,1.0,0.0,0.0,0.0,0.0,2023-03-19,,,0,0,0,0,0,0.0,CCCCC00
51832522,15978339,9325386,2023-07-31,368995592364895787,2023-03-02,1.0,2023-03-02,1.0,1.0,19.0,1.0,0.0,0.0,1.0,2028-05-02,532662.06,RUB,,0.0,,2830.8,2023-08-02,0.0,2023-08-02,3.0,,,,,19.94,677591.78,2023-03-02,13654.0,2023-07-03,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,2023-02-24,2023-07-03,2023-07-05,1.0,537140.8,0.0,520351.11,511881.91,8469.2,0.0,2023-07-03,0.0,2023-07-02,0.0,520351.11,511881.91,8469.2,0.0,2023-07-03,,0.0,0.0,,,,2023-07-03,,,0,0,0,0,0,0.0,00000
51832522,15978339,9325386,2023-07-31,417112222991616859,2023-05-01,1.0,2023-05-01,1.0,3.0,19.0,1.0,0.0,0.0,1.0,2024-05-01,100000.0,RUB,,0.0,,7029.19,2023-08-01,3895.82,2023-08-01,3.0,,,,,53.197,31095.17,2023-05-01,10925.0,2023-05-01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,2023-05-01,2023-07-01,2023-07-03,1.0,100000.0,1.0,86711.14,86711.14,0.0,0.0,2023-07-01,0.0,2023-05-01,1.0,86711.14,86711.14,0.0,0.0,2023-07-01,,1.0,0.0,,,,2023-07-01,,,0,0,0,0,0,0.0,000
51832522,15978339,9325386,2023-07-31,196029009930552671,2023-07-02,1.0,2023-07-01,1.0,5.0,19.0,1.0,1.0,0.0,1.0,2260-12-31,30000.0,RUB,,0.0,,0.0,,,,,,,,,25.356,22948.56,2023-07-01,0.0,2023-07-01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,2023-07-01,2023-07-02,2023-07-05,1.0,11143.52,1.0,11143.52,11143.52,0.0,0.0,2023-07-02,,2023-07-01,1.0,11143.52,11143.52,0.0,0.0,2023-07-02,,1.0,0.0,,,,2023-07-02,,,0,0,0,0,0,0.0,0
51832522,15978339,9325386,2023-07-31,338906159976083237,2020-12-27,1.0,2020-12-27,1.0,5.0,19.0,1.0,1.0,0.0,0.0,2022-09-22,135000.0,RUB,,0.0,,,,,,,,,,,24.459,,2022-09-22,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,1.0,2022-09-22,,,,,,2021-02-21,2022-09-22,2022-09-25,0.0,85000.0,1.0,0.0,0.0,0.0,0.0,2022-09-22,,,1.0,0.0,0.0,0.0,0.0,2022-09-22,,1.0,0.0,0.0,0.0,0.0,2022-09-22,,,0,1,0,0,0,5113.86,CCCCCCCCCC20000000000000000000--
