application_id;client_id;equifax_id;reporting_dt;account_uid;fund_date;trade_owner_indic;trade_opened_dt;trade_trade_type_code;trade_loan_kind_code;trade_acct_type1;trade_is_consumer_loan;trade_has_card;trade_is_novation;trade_is_money_source;trade_close_dt;account_amt_credit_limit;account_amt_currency_code;account_amt_ensured_amt;coborrower_has_solidary;coborrower_solidary_num;paymnt_condition_principal_terms_amt;paymnt_condition_principal_terms_amt_dt;paymnt_condition_interest_terms_amt;paymnt_condition_interest_terms_amt_dt;paymnt_condition_terms_frequency;paymnt_condition_min_paymt;paymnt_condition_grace_start_dt;paymnt_condition_grace_end_dt;paymnt_condition_interest_payment_due_date;overall_val_credit_total_amt;overall_val_credit_total_monetary_amt;overall_val_credit_total_amt_date;month_aver_paymt_aver_paymt_amt;month_aver_paymt_calc_date;has_collaterals;has_guarantees;has_indie_guarantees;collat_insured_insur_sign;collat_insured_insur_limit;collat_insured_currency_code;collat_insured_has_franchise;collat_insured_insur_start_dt;collat_insured_insur_end_dt;collat_insured_insur_fact_end_dt;collat_insured_insur_end_reason;colat_repaid;collat_repay_code;collat_repay_dt;collat_repay_amt;loan_indicator;loan_indicator_dt;legal_items_has_legal_dispute;legal_items_court_act_dt;legal_items_court_act_effect_code;hold_code;hold_dt;file_since_dt;last_updated_dt;last_uploaded_dt;arrear_sign;arrear_start_amt_outstanding;arrear_last_payment_due_code;arrear_amt_outstanding;arrear_principal_outstanding;arrear_int_outstanding;arrear_other_amt_outstanding;arrear_calc_date;arrear_unconfirm_grace;due_arrear_start_dt;due_arrear_last_payment_due_code;due_arrear_amt_outstanding;due_arrear_principal_outstanding;due_arrear_int_outstanding;due_arrear_other_amtoutstanding;due_arrear_calc_date;past_due_dt;past_due_last_payment_due_code;past_due_amt_past_due;past_due_principal_amt_past_due;past_due_int_amt_past_due;past_due_other_amt_past_due;past_due_calc_date;past_due_principal_missed_date;past_due_int_missed_date;delay5;delay30;delay60;delay90;delay_more;cred_max_overdue;attr_value
53131404;8496;11761124;2023-09-17;126920957840495553;2015-01-29;1.0;2015-01-29;1.0;3.0;19;1.0;0.0;0.0;0.0;2015-02-13;5000.0;RUB;;0.0;;;;;;;;;;;778.67;;2016-12-23;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;3.0;2016-12-21;2015-02-01;2016-12-23;2016-12-29;0.0;5000.0;1.0;0.0;0.0;0.0;0.0;2016-12-21;;;1.0;0.0;0.0;0.0;0.0;2016-12-21;;1.0;0.0;0.0;0.0;0.0;2016-12-21;;;0;0;0;0;1;5000.0;SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSAAAAAAAAAAAAAAA98765432-
53131404;8496;11761124;2023-09-17;739802116640390433;2021-07-18;1.0;2021-07-18;1.0;3.0;19;1.0;0.0;0.0;0.0;2021-08-15;11000.0;RUB;;0.0;;;;;;;;;;;361.0;;2021-08-11;;;0.0;0.0;0.0;;;;;;;;;;;;;1.0;2021-08-11;;;;;;2021-07-18;2021-08-11;2021-08-11;0.0;11000.0;1.0;0.0;0.0;0.0;0.0;2021-08-11;;;1.0;0.0;0.0;0.0;0.0;2021-08-11;;1.0;0.0;0.0;0.0;0.0;2021-08-11;;;0;0;0;0;0;0.0;CCCCCCCCCCCCCCCCCCCCCCCCCC0
53131404;8496;11761124;2023-09-17;433535758278425543;2021-08-12;1.0;2021-08-12;1.0;3.0;19;1.0;0.0;0.0;0.0;2021-09-11;5000.0;RUB;;0.0;;;;;;;;;;;365.0;6500.0;2021-08-24;;;0.0;0.0;0.0;;;;;;;;;;;;;1.0;2021-08-24;;;;;;2021-08-12;2021-08-24;2021-08-31;0.0;5000.0;1.0;0.0;0.0;0.0;0.0;2021-08-24;;;1.0;0.0;0.0;0.0;0.0;2021-08-24;;1.0;0.0;0.0;0.0;0.0;2021-08-24;;;0;0;0;0;0;0.0;CCCCCCCCCCCCCCCCCCCCCCCCCC
53131404;8496;11761124;2023-09-17;926501315354859488;2021-09-01;1.0;2021-09-01;1.0;3.0;19;1.0;0.0;0.0;0.0;2021-09-07;10000.0;RUB;;0.0;;;;;;;;;;;359.21;12741.0;2021-09-07;;;0.0;0.0;0.0;;;;;;;;;;;;;1.0;2021-09-07;;;;;;2021-09-03;2021-09-07;2021-09-09;0.0;10000.0;1.0;0.0;0.0;0.0;0.0;2021-09-07;;;1.0;0.0;0.0;0.0;0.0;2021-09-07;;1.0;0.0;0.0;0.0;0.0;2021-09-07;;;0;0;0;0;0;0.0;CCCCCCCCCCCCCCCCCCCCCCCCC
53131404;8496;11761124;2023-09-17;699872644697933262;2021-09-15;1.0;2021-09-15;1.0;3.0;19;1.0;0.0;0.0;0.0;2021-10-15;10000.0;RUB;;0.0;;;;;;;;;;;365.0;13000.0;2021-10-14;;;0.0;0.0;0.0;;;;;;;;;;;;;1.0;2021-10-14;;;;;;2021-09-15;2021-10-14;2021-10-19;0.0;10000.0;1.0;0.0;0.0;0.0;0.0;2021-10-14;;;1.0;0.0;0.0;0.0;0.0;2021-10-14;;1.0;0.0;0.0;0.0;0.0;2021-10-14;;;0;0;0;0;0;0.0;CCCCCCCCCCCCCCCCCCCCCCCC0
53131404;8496;11761124;2023-09-17;840719160311871654;2021-10-04;1.0;2021-10-04;1.0;3.0;19;1.0;0.0;0.0;0.0;2021-11-03;14000.0;RUB;;0.0;;;;;;;;;;;365.0;18200.0;2021-10-16;;;0.0;0.0;0.0;;;;;;;;;;;;;1.0;2021-10-16;;;;;;2021-10-07;2021-10-16;2021-10-18;0.0;14000.0;1.0;0.0;0.0;0.0;0.0;2021-10-16;;;1.0;0.0;0.0;0.0;0.0;2021-10-16;;1.0;0.0;0.0;0.0;0.0;2021-10-16;;;0;0;0;0;0;0.0;CCCCCCCCCCCCCCCCCCCCCCCC
53131404;8496;11761124;2023-09-17;291432727737678265;2015-01-29;1.0;2015-01-29;1.0;3.0;19;1.0;1.0;0.0;1.0;2015-02-13;5000.0;RUB;;;;0.0;;0.0;;;;;;;778.67;1600.0;2016-12-21;475923.0;2023-09-08;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;2016-12-25;2023-09-08;2023-09-11;1.0;5000.0;0.0;475923.3;5000.0;470923.3;0.0;2023-09-08;;;0.0;0.0;;;;2023-09-08;2015-02-14;0.0;475923.3;5000.0;470923.3;0.0;2023-09-08;2015-02-13;2015-02-13;0;0;0;0;0;5000.0;AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA98765432-----------------------
53131404;8496;11761124;2023-09-17;685177753888199853;2021-06-29;1.0;2021-06-29;1.0;3.0;19;1.0;0.0;0.0;0.0;2021-07-10;2000.0;RUB;;0.0;;;;;;;;;;;0.0;;2021-06-30;;;0.0;0.0;0.0;;;;;;;;;;;;;1.0;2021-06-30;;;;;;2021-06-29;2021-06-30;2021-06-30;0.0;2000.0;1.0;0.0;0.0;0.0;0.0;2021-06-30;;;1.0;0.0;0.0;0.0;0.0;2021-06-30;;1.0;0.0;0.0;0.0;0.0;2021-06-30;;;0;0;0;0;0;0.0;CCCCCCCCCCCCCCCCCCCCCCCCCCCC
53131404;8496;11761124;2023-09-17;362551608148083233;2021-07-11;1.0;2021-07-11;1.0;3.0;19;1.0;0.0;0.0;0.0;2021-08-10;5000.0;RUB;;0.0;;;;;;;;;;;365.0;;2021-07-14;;;0.0;0.0;0.0;;;;;;;;;;;;;1.0;2021-07-14;;;;;;2021-07-11;2021-07-14;2021-07-15;0.0;5000.0;1.0;0.0;0.0;0.0;0.0;2021-07-14;;;1.0;0.0;0.0;0.0;0.0;2021-07-14;;1.0;0.0;0.0;0.0;0.0;2021-07-14;;;0;0;0;0;0;0.0;CCCCCCCCCCCCCCCCCCCCCCCCCCC
53131404;8496;11761124;2023-09-17;698992600017016170;2021-07-13;1.0;2021-07-13;1.0;3.0;19;1.0;0.0;0.0;0.0;2021-07-20;10000.0;RUB;;0.0;;;;;;;;;;;361.0;;2021-07-14;;;0.0;0.0;0.0;;;;;;;;;;;;;1.0;2021-07-14;;;;;;2021-07-13;2021-07-14;2021-07-14;0.0;10000.0;1.0;0.0;0.0;0.0;0.0;2021-07-14;;;1.0;0.0;0.0;0.0;0.0;2021-07-14;;1.0;0.0;0.0;0.0;0.0;2021-07-14;;;0;0;0;0;0;0.0;CCCCCCCCCCCCCCCCCCCCCCCCCCC
